
Timestamp(ms),GaugeValue,HeadPos.x,HeadPos.y,HeadPos.z,HeadForward.x,HeadForward.y,HeadForward.z,GazePos.x,GazePos.y,GazePos.z,GazeDirection.x,GazeDirection.y,GazeDirection.z,ObjLookingAt
1758856074196,81.282,0.006,0.823,0.218,-0.023,0.113,0.993,0.006,1.12,0.073,0.419,-0.001,0.908,Popup_1
1758856074251,81.282,0.006,0.822,0.218,-0.023,0.111,0.994,0.006,1.119,0.073,0.423,-0.003,0.906,Popup_1
1758856074309,81.282,0.006,0.822,0.218,-0.022,0.11,0.994,0.006,1.119,0.073,0.422,-0.003,0.907,Popup_1
1758856074343,81.282,0.006,0.822,0.218,-0.022,0.11,0.994,0.006,1.119,0.073,0.422,-0.003,0.907,Popup_1
1758856074417,81.282,0.007,0.822,0.218,-0.022,0.111,0.994,0.006,1.119,0.073,0.426,-0.002,0.905,Popup_1
1758856074476,81.282,0.007,0.822,0.218,-0.021,0.11,0.994,0.007,1.119,0.073,0.426,-0.001,0.905,Popup_1
1758856074556,81.282,0.007,0.822,0.218,-0.022,0.11,0.994,0.007,1.119,0.073,0.422,-0.001,0.906,Popup_1
1758856074609,81.282,0.007,0.822,0.218,-0.022,0.111,0.994,0.007,1.119,0.073,0.422,0.004,0.907,Popup_1
1758856074667,81.282,0.007,0.822,0.218,-0.021,0.11,0.994,0.007,1.119,0.073,0.424,0.003,0.905,Popup_1
1758856074724,81.282,0.007,0.822,0.218,-0.02,0.11,0.994,0.007,1.119,0.073,0.425,0.001,0.905,Popup_1
1758856074783,81.282,0.007,0.822,0.219,-0.022,0.109,0.994,0.007,1.119,0.073,0.421,-0.003,0.907,Popup_1
1758856074838,81.282,0.007,0.822,0.219,-0.023,0.108,0.994,0.007,1.119,0.074,0.41,-0.004,0.912,Popup_1
1758856074921,81.282,0.007,0.822,0.219,-0.022,0.109,0.994,0.007,1.119,0.074,0.058,0.053,0.997,Highlight_1.1
1758856074974,81.282,0.007,0.822,0.219,-0.021,0.109,0.994,0.007,1.119,0.074,0.053,0.058,0.997,Highlight_1.1
1758856075027,81.282,0.007,0.822,0.219,-0.023,0.109,0.994,0.007,1.119,0.074,0.05,0.064,0.997,Slide 1
1758856075085,81.282,0.007,0.822,0.219,-0.024,0.109,0.994,0.007,1.119,0.074,0.048,0.062,0.997,Slide 1
1758856075143,81.282,0.006,0.822,0.219,-0.024,0.109,0.994,0.006,1.119,0.074,0.048,0.059,0.997,Slide 1
1758856075175,81.282,0.006,0.822,0.219,-0.023,0.109,0.994,0.006,1.119,0.074,-0.007,0.053,0.999,Slide 1
1758856075251,81.282,0.007,0.822,0.219,-0.023,0.11,0.994,0.007,1.119,0.074,-0.078,0.048,0.996,Slide 1
1758856075284,81.282,0.007,0.822,0.219,-0.022,0.109,0.994,0.007,1.119,0.074,-0.079,0.047,0.996,Slide 1
1758856075364,81.282,0.007,0.822,0.219,-0.023,0.109,0.994,0.007,1.119,0.074,-0.074,0.047,0.996,Slide 1
1758856075397,81.282,0.007,0.822,0.219,-0.024,0.11,0.994,0.007,1.119,0.074,0.066,0.08,0.995,Slide 1
1758856075451,81.282,0.007,0.822,0.219,-0.024,0.11,0.994,0.007,1.119,0.074,0.066,0.081,0.994,Slide 1
1758856075531,81.282,0.007,0.822,0.219,-0.024,0.11,0.994,0.007,1.119,0.074,0.066,0.084,0.994,Slide 1
1758856075584,81.282,0.007,0.822,0.219,-0.024,0.11,0.994,0.007,1.119,0.074,0.067,0.085,0.994,Slide 1
1758856075639,81.282,0.007,0.822,0.219,-0.025,0.11,0.994,0.007,1.119,0.074,0.065,0.087,0.994,Slide 1
1758856075697,81.282,0.007,0.822,0.219,-0.025,0.11,0.994,0.007,1.119,0.074,0.065,0.083,0.994,Slide 1
1758856075754,81.282,0.007,0.822,0.219,-0.025,0.109,0.994,0.007,1.119,0.074,-0.087,0.05,0.995,Slide 1
1758856075812,81.282,0.006,0.822,0.219,-0.025,0.11,0.994,0.006,1.119,0.074,-0.092,0.05,0.995,Slide 1
1758856075868,81.282,0.006,0.822,0.219,-0.026,0.11,0.994,0.006,1.119,0.074,-0.094,0.049,0.994,Slide 1
1758856075950,81.282,0.006,0.822,0.219,-0.027,0.108,0.994,0.006,1.119,0.074,-0.098,0.046,0.994,Slide 1
1758856075977,81.282,0.006,0.822,0.219,-0.025,0.109,0.994,0.006,1.119,0.074,-0.094,0.049,0.994,Slide 1
1758856076033,81.282,0.006,0.822,0.219,-0.027,0.11,0.994,0.006,1.119,0.074,-0.094,0.05,0.994,Slide 1
1758856076090,81.282,0.006,0.822,0.219,-0.03,0.11,0.993,0.006,1.119,0.074,-0.094,0.053,0.994,Slide 1
1758856076150,81.282,0.006,0.822,0.219,-0.03,0.109,0.994,0.006,1.119,0.074,-0.103,0.046,0.994,Slide 1
1758856076205,81.282,0.006,0.822,0.219,-0.029,0.109,0.994,0.006,1.119,0.074,-0.114,0.046,0.992,Slide 1
1758856076285,81.282,0.006,0.822,0.219,-0.029,0.11,0.993,0.006,1.119,0.074,-0.101,0.061,0.993,Slide 1
1758856076346,81.282,0.005,0.822,0.219,-0.029,0.11,0.993,0.005,1.119,0.074,-0.103,0.054,0.993,Slide 1
1758856076399,81.282,0.005,0.822,0.219,-0.03,0.109,0.994,0.005,1.119,0.074,-0.105,0.055,0.993,Slide 1
1758856076496,81.282,0.005,0.822,0.219,-0.03,0.11,0.994,0.005,1.119,0.074,-0.099,0.053,0.994,Slide 1
1758856076529,81.282,0.005,0.822,0.219,-0.032,0.109,0.993,0.005,1.119,0.074,-0.102,0.054,0.993,Slide 1
1758856076584,81.282,0.005,0.822,0.219,-0.033,0.109,0.993,0.005,1.119,0.074,-0.103,0.05,0.993,Slide 1
1758856076611,81.282,0.005,0.822,0.219,-0.031,0.109,0.994,0.005,1.119,0.074,-0.377,0.034,0.925,None
1758856076672,81.282,0.005,0.822,0.219,-0.031,0.108,0.994,0.005,1.119,0.074,-0.391,0.03,0.92,Popup_2
1758856076730,81.282,0.004,0.822,0.219,-0.034,0.107,0.994,0.005,1.119,0.074,-0.394,0.03,0.919,Popup_2
